Date,Hertfordshire,Central Bedfordshire,Birmingham,Solihull,Worcestershire,Sandwell,Walsall,Warwickshire,Dudley,Staffordshire CC,"Bath and North East Somerset, North Somerset and South Gloucestershire",Somerset,Wiltshire,Dorset CC,Blackburn with Darwen,East Lancashire,Mid Lancashire,North Yorkshire CC,Chorley and West Lancashire,Bradford,Leeds,Calderdale and Kirklees,Bournemouth and Poole,Central Hampshire,Greater Manchester North East,Greater Manchester North West,Brighton and Hove,East Sussex CC,West Sussex (South West),West Sussex (North East),Bromley,Lewisham and Southwark,West Kent,Bexley and Greenwich,Kent Thames Gateway,"Bristol, City of",East Cumbria,West Cumbria,Northumberland,Cambridgeshire CC,West Essex,North and West Norfolk,Suffolk,Essex Haven Gateway,Cardiff and Vale of Glamorgan,Gwent Valleys,Central Valleys,Monmouthshire and Newport,Bridgend and Neath Port Talbot,Powys,Cheshire West and Chester,Flintshire and Wrexham,Wirral,Conwy and Denbighshire,Heart of Essex,Essex Thames Gateway,Thurrock,Barking & Dagenham and Havering,Croydon,"Merton, Kingston upon Thames and Sutton",East Surrey,East Kent,Mid Kent,Coventry,Leicestershire CC and Rutland,West Northamptonshire,Cheshire East,Shropshire CC,Derby,South and West Derbyshire,East Derbyshire,North Nottinghamshire,South Nottinghamshire,Durham CC,Tyneside,Sunderland,Darlington,Hartlepool and Stockton-on-Tees,"Barnsley, Doncaster and Rotherham",North and North East Lincolnshire,East Riding of Yorkshire,Lincolnshire,Devon CC,Wolverhampton,Tower Hamlets,Hackney and Newham,Camden and City of London,Redbridge and Waltham Forest,Haringey and Islington,Enfield,Barnet,Cornwall and Isles of Scilly,Blackpool,Lancaster and Wyre,Gloucestershire,"Herefordshire, County of",Oxfordshire,West Surrey,North Hampshire,Berkshire,Brent,Ealing,Harrow and Hillingdon,Buckinghamshire CC,"Kingston upon Hull, City of",Breckland and South Norfolk,Hounslow and Richmond upon Thames,Liverpool,East Merseyside,Sefton,Leicester,North Northamptonshire,Gwynedd,Isle of Anglesey,Wakefield,Luton,Manchester,Greater Manchester South East,Greater Manchester South West,Medway,Milton Keynes,Bedford,Nottingham,Norwich and East Norfolk,Westminster,Kensington & Chelsea and Hammersmith & Fulham,Peterborough,Plymouth,Portsmouth,South Hampshire,Isle of Wight,Sheffield,Swansea,South West Wales,Lambeth,Swindon,Southampton,Southend-on-Sea,Stoke-on-Trent,Wandsworth,Telford and Wrekin,South Teesside,Warrington,York,V1
1996,1.0402466782542823,1.0296153641739418,1.0127524982007072,1.023207903397594,1.02551692206038,1.0169970957822105,1.0096451103221373,1.0271191611093808,1.0027243519803193,1.0119616450973108,1.030843301835736,1.0180620540030063,1.0263916381334828,1.0348799886547646,0.9936230412861878,0.9953323357218582,0.9921054016763987,1.004590959444102,1.0081284290846138,0.9908151017007436,1.0004843266692907,0.9946227960756184,1.0374092314041288,1.0460537429615289,1.006191865009075,1.0074870428728384,1.0560401654544087,1.0309666190102564,1.04770477146819,1.0359164899900926,1.0457354000294337,1.048654555595816,1.0368483879666381,1.0347727081964269,1.0167036096625364,1.0382059699723831,1.0095589412952157,0.9917235883198303,1.0026825165446562,1.0193776839329323,1.0234921631080314,0.9955753771550989,1.014894660988843,1.012537671305484,1.014719324517536,1.010302651167694,1.0023297425599589,1.008617005627882,1.0134394412766061,1.0118859015158175,1.0095844337846938,1.0121304730101817,0.9967089220800123,1.0096241332341245,1.034197867158338,1.0281233190739407,1.015009579867064,1.0345455029554143,1.0504682097787736,1.0440874812679612,1.041418646458443,1.038858099879335,1.0199665332104286,1.003238923083188,1.018529107133567,1.0361726425839002,1.0075754152087475,1.0240245211798682,1.0046781643564549,1.0100200002638695,0.9954922237020188,1.0030009149469299,1.0100553728965385,1.0071774500794883,1.0039409748905421,1.006042263533364,1.0036412309397365,0.9887000295915604,0.9940485552889506,0.9987310931981809,0.9965414091030704,1.0092950553416697,1.0245585230776557,1.0016685806804626,1.0645586888772236,1.0559881213031954,1.1062370669708268,1.0493926298915808,1.0700485131968502,1.0450264507936464,1.06546645523694,1.0292757932086312,0.974945485833859,0.9983543305170635,1.031431305426613,1.0165803729499845,1.0404377111183183,1.0470363383310586,1.037232419638782,1.0435869513353841,1.0691885423384397,1.0576115640566266,1.0437456409084125,1.0426379568438866,0.9791652939761327,1.0029572422174275,1.0495128199076318,1.0054970425111076,0.9968253824011075,0.9982980930508485,0.9980164940549563,1.0136374200244005,1.036211133752946,1.0261290256044093,1.00789697162814,1.0320388588935796,1.0037752097886203,1.0044920808025157,1.013081099667331,1.0118955641429284,1.0306990029088638,1.0230573406500696,1.0065249997023051,1.0032268044301813,1.0305785005925598,1.0896852998715751,1.0031986055244484,0.9870734448078254,1.0361143599040208,1.032364444017563,1.0363879880492561,1.0098725151663566,1.0185637801686804,1.0251988390393834,1.0886462873547853,1.0252858833398895,1.0280702985235657,1.0309371481452119,1.0047698059447794,1.0750013306920534,0.9943574653906525,1.017261081593249,0.9906721868329589,1.0079622872333718,0.9997050985545907
1997,1.1748488766149956,1.1430970987139184,1.0762878811341767,1.1056304141029245,1.1024454471454408,1.043650473549225,1.056908763220232,1.1216913473212269,1.0515207072474586,1.0694328967864817,1.116063572720422,1.0941033824437443,1.120059586435796,1.1471331021943225,1.0297449105389194,1.0031680322946392,1.0281816978755398,1.0531783942931976,1.0516593663591323,1.009094848019115,1.0450434012597558,1.0258102069035566,1.1615068380862308,1.1604624225865354,1.0372448251981097,1.0320927282063366,1.1811169118616398,1.1303681682711344,1.1761406637132472,1.1596039609773447,1.1749449005447326,1.1843968411076324,1.1729476680921809,1.148874752449963,1.112250591468399,1.1404606781491708,1.0459201131831735,1.039402992042501,1.052892973455348,1.1076238141893149,1.126991310859705,1.061533368966923,1.092252844087617,1.097538852758132,1.0848896088717914,1.0590284019019884,1.022639807104138,1.0756145021924792,1.0449003717915502,1.0787818183333655,1.0560011407383918,1.0528147352535218,1.045710971337241,1.0575455495069501,1.1537547368566814,1.1210518158551481,1.09370984863779,1.1346260598419649,1.1785566852945917,1.1881211171019221,1.1920427614401468,1.1247226965593076,1.123630218375818,1.0703132209516084,1.0865168300379862,1.1467291976298848,1.0700002360308067,1.085571652489351,1.0415357819969842,1.0621177148345757,1.0305987687595233,1.0478669377659589,1.0772144060581368,1.030268091954324,1.0467918798457014,1.0313491862098942,1.0389079746356358,1.0131091012448266,1.0200176706959223,1.021340015813715,1.0113312599956,1.0652464312422543,1.1036861865250722,1.0625438903685425,1.2121522197893657,1.1768081253649902,1.254147419527796,1.1635856940964626,1.237522636034939,1.171021651743786,1.2014502133827263,1.1143474710628758,1.0233500852356365,1.035932525381969,1.1208812508585255,1.07774580238855,1.1713600738630416,1.1935391281611576,1.1797807862354004,1.1941151273627015,1.2151906711385938,1.2248455304393382,1.1866748277386587,1.1853866863924907,0.9580740488063761,1.0693747049695979,1.2111391947992391,1.0271826081539195,1.0160797541399145,1.0320631858393676,1.0454756623127408,1.078269660859337,1.0857937807951648,1.086091829698297,1.0369416392643203,1.1201192746265984,1.0378924129849403,1.0484548626215189,1.0621587563214145,1.105900719488669,1.1266823179672718,1.1155359252817527,1.0595365061567592,1.068962819565873,1.2008454483649569,1.2678434188760772,1.057321571118608,1.0487823242888794,1.1376292944370028,1.1334763934777368,1.1392255863031593,1.0470333983172042,1.0548490107211357,1.0656197221682888,1.2405023702745601,1.0981017713804033,1.130570551347809,1.1449473083180355,1.0372614794530932,1.269762816447616,1.0377677494824444,1.093784982709779,0.9972742945286305,1.0491413319750977,1.0515695018454254
1998,1.3164533123728452,1.2636007501792628,1.1480952339848507,1.2254081155336511,1.188340890609379,1.087497784050468,1.107781770790488,1.2227317305317276,1.1103571643367052,1.1369240584751312,1.220319352622709,1.1891294410592148,1.2382584093622997,1.2655636166163584,1.0552514787402827,1.0331876829418605,1.0667032892939445,1.1161914952436438,1.1082806617148118,1.0424220466690286,1.1019526658021193,1.0586779347754487,1.2940814634406637,1.291845781130009,1.0736739186430253,1.0630417724390788,1.3170345250988824,1.251769084671191,1.3029269355132627,1.3094231424015135,1.3320875154243,1.3198121581376603,1.3082367557903682,1.294848809879569,1.2283562676159436,1.2596068293440632,1.1029431274172918,1.0842076064172217,1.1031373883996396,1.2273210042795006,1.2412559134507617,1.1417731935344784,1.185654532962413,1.2048240301146176,1.1612144800350253,1.1013318548514126,1.0568882568698261,1.1491630967122064,1.0794717166701908,1.138152665603102,1.1296104015908932,1.1120036606387629,1.1051258259605548,1.1083211995942979,1.280434851646136,1.223658022544403,1.1971125424683415,1.269298544569722,1.3217664208604039,1.3385588722874036,1.3393640907286652,1.2221843091691516,1.2419317338123006,1.1588224506282425,1.1571218560847323,1.2594315636919762,1.1507048844291423,1.1515362467463217,1.1009758306057678,1.122451452617006,1.082307131919541,1.0960724346261264,1.1456529961123425,1.0717355204333625,1.107764795613284,1.068413628742264,1.0764979342683458,1.0278852345422766,1.0501796422639125,1.0608256542041008,1.0416618218148648,1.1268042875533648,1.1925117193323143,1.1050940145577393,1.364270219037658,1.3149261712902347,1.414431602305296,1.2992175202824214,1.4071219920047449,1.3075189288636329,1.3557511020152122,1.2132569462287943,1.057944893196508,1.0803539750057338,1.229099461926754,1.1546120168554377,1.3089743017938646,1.3518704171932505,1.3189856317123014,1.3404474586111164,1.3847198092695385,1.38369241056653,1.334041488273865,1.3297720628186886,0.9619124511723893,1.1544551270482344,1.3865774080250766,1.0608010189924668,1.042089544074313,1.0962424794496861,1.117201747040818,1.1615637074849785,1.1464623219180952,1.1290250302073517,1.0683341593311675,1.2297933520002513,1.114502422932552,1.1040102122878686,1.1340296198940698,1.2170792302265392,1.2478556098313671,1.2410859932880247,1.110836647128833,1.1396249329194776,1.3239307971672336,1.4021819184681819,1.1317808730822454,1.099042111054206,1.2409436490924692,1.2409494581652982,1.250418451500322,1.102658782265915,1.0901246885435072,1.1350716364438496,1.4249062455110113,1.214260689642811,1.24078522704264,1.2521327254444663,1.0576393224828804,1.4496773609695501,1.0831677466909724,1.1723732838245702,1.0277016537920558,1.1178701846460468,1.1113587701386387
1999,1.4576456172246577,1.3900882451918661,1.2376199402240342,1.3409615426019872,1.2896235018405673,1.1428772281746882,1.1654132648607065,1.3364455453426332,1.1775184401923848,1.2109512135777405,1.3500467617889058,1.3075377962820314,1.3803114090429847,1.403691058916761,1.0742107815416206,1.055850432756128,1.128076215642857,1.1838779314880294,1.1627916822123399,1.078104126438659,1.1731643355906916,1.1023745938482374,1.4326185882287394,1.4225157891758557,1.121121591103609,1.1052241133317866,1.5002865897550712,1.3703520099177835,1.4303673830352004,1.4550947624154058,1.4992430394060898,1.5048528901012257,1.4448384879596605,1.434177112554945,1.3390288646789903,1.4234846249667568,1.164991612186737,1.14418010735876,1.1565577231568451,1.3410077438020043,1.3755251095596104,1.244161537298407,1.3058608934338094,1.3115927288575313,1.2537174130156503,1.1487847318488036,1.100374052171004,1.221615442912505,1.1214488737130401,1.1858266577113334,1.226526534420748,1.1778267812133147,1.1762115939591702,1.177226479219711,1.4064238032610095,1.3343618010242175,1.2912609696737334,1.3886342804106908,1.484570705173143,1.5102156087811396,1.488712053727568,1.3366184313256462,1.360750791882538,1.243628648239925,1.2487761232655548,1.3856883023724793,1.2491121782732004,1.2444468811147509,1.179155288723646,1.1944516771128628,1.129528054058317,1.150240748595289,1.2336594126588107,1.110287266867844,1.1706866063482337,1.1180470298859448,1.1083888798459771,1.0518774453654,1.090371680982543,1.086101837787308,1.0768577942691993,1.1988768115436337,1.300404624512267,1.1713328754620287,1.5253347582755123,1.5127637046195601,1.5753463585588765,1.4451342855863307,1.5906845342291278,1.4484918654926975,1.5143799209146664,1.3234168479051311,1.1018810068983342,1.1362518524144638,1.3505879179559013,1.2718823690264163,1.4597726406022609,1.5073744674009046,1.4613982934387912,1.5000643020443996,1.562299667576178,1.5913696077330215,1.4973604293226295,1.4697015058710303,0.9767340370213193,1.2589757015102547,1.5560587668297978,1.1004246330147542,1.0970116054030776,1.1579930947536319,1.190041608129323,1.2586450117505514,1.2188905262471714,1.216941878385168,1.1078540421096854,1.368918877359847,1.2081923596124364,1.193361056185168,1.225907928559646,1.3386786348173563,1.3748262162805687,1.3663499932154892,1.1834801564948536,1.2321954356444365,1.463442545071189,1.5588140012955347,1.2127680600137416,1.1734385169399881,1.348639007414082,1.3519833933343397,1.3817881417597928,1.173147964066454,1.1466573423292363,1.1708669634878972,1.6305793630760879,1.3723156150000548,1.3650850033104238,1.3692615709019733,1.0929631384224912,1.6623170786316102,1.1476994233690616,1.2609110303804096,1.0499359611112518,1.1953383455526745,1.1937105583710619
2000,1.7113748758667582,1.624153267602304,1.3745218553576353,1.5247057367366386,1.4640427199540362,1.2135621221113488,1.273386654499706,1.496359549558443,1.2810075313593248,1.3322767761473657,1.5800017242358377,1.511788947540888,1.6155357726923831,1.636913530723444,1.1247817011307106,1.1203850458455367,1.2003535641047278,1.311787142562817,1.2558800769008513,1.1497574880473875,1.2903799630697865,1.1683966156709888,1.6721343925595578,1.682204707065232,1.2012987969587015,1.1834704341577418,1.84868072495496,1.6036134409804164,1.6825882895118833,1.7193214925289766,1.7766292322043253,1.8154191421451762,1.6863448038274824,1.6824384193297903,1.5602912045900534,1.6580095034068878,1.2540003903608163,1.2133979208684305,1.2261207587845562,1.5581715657950994,1.6006039801365162,1.4217596500709562,1.5179685726225556,1.523878591724644,1.4035422336834413,1.2256930720630248,1.1644188887493196,1.3300608400266978,1.1848284191993426,1.3022110679811443,1.3601026693651563,1.2860244150731766,1.2853699810428687,1.2671329974648033,1.6334156496600516,1.5490434560943758,1.5171241350058344,1.620906160139565,1.7852359053873847,1.8018745300635954,1.7497486336044086,1.5530588632777835,1.5885422463389778,1.3963060910629579,1.3961662328271438,1.6003997492893043,1.3879341596776262,1.3986595154412267,1.2925841432387783,1.3129452784305096,1.2210184016940402,1.2260922983143858,1.3716155412575695,1.171051418087929,1.2505591832120968,1.1765664800698765,1.1670012967179535,1.1038967947265017,1.149658876147839,1.1351366159145195,1.1497943616918918,1.3177973639454503,1.5022737375961976,1.2862996161511369,1.7790750939869386,1.8200023536738992,1.8553483851656813,1.724647265306853,1.877352014152519,1.7317995730201423,1.792166415809115,1.5068255024702406,1.161881566864608,1.2120150319884104,1.5644445965591933,1.444361281266817,1.7167590149491878,1.768993583152233,1.722442464031016,1.7855391751442398,1.8860442837795657,1.8549218217902717,1.7618070977397522,1.7173326863832965,1.0113267633763436,1.466658976806911,1.839912379716314,1.190044440761374,1.1903283335445047,1.2556990571132076,1.2967473598433754,1.420751551251887,1.3184438693263278,1.3144478529254562,1.1716802771383275,1.6030384502195023,1.3436823704041494,1.3136598273516806,1.3571692129854005,1.5477124462791134,1.611623422248659,1.5881776090220716,1.280048536708962,1.439630821741133,1.6747662145321405,1.8301997317191026,1.363952601798711,1.32140557317275,1.5618924303628543,1.5860591188807722,1.6322918758922025,1.2883880785229296,1.2346277098527803,1.2574943711126523,1.9760302300438226,1.640227671817487,1.6267870629541141,1.578095051193749,1.1356882939153379,1.9902757496529138,1.2580983759251447,1.4410930662227615,1.093853674268519,1.3328237067321131,1.3717853523836492
2001,1.8875336563359937,1.7953503333496779,1.536476169050874,1.668911892052658,1.620421219279088,1.345195412331549,1.3932822585752065,1.6474273268613049,1.427922869302866,1.4573103466038357,1.7553838846776268,1.676579263518073,1.7857551551030681,1.8223713217161808,1.1734755088139646,1.1726959217999673,1.3078420926383612,1.463248229716814,1.3678656420130775,1.2273611576625183,1.4331674388433047,1.2537502342313331,1.8486615383107123,1.8720484880265906,1.2875710435087877,1.2745328639184632,2.1061985710359745,1.7914174888002552,1.8837443020818505,1.9087622338874854,1.9477108483172911,2.0395647010543008,1.8619724244658127,1.8981470828493525,1.7528193486578225,1.8620079285828701,1.3540956987732569,1.2916786871137473,1.3202556059512551,1.7486780180219317,1.7756489817552144,1.6215809436769257,1.7000831731640111,1.71355738506922,1.5514829360742117,1.305961924061201,1.2332200008962593,1.4506518924584335,1.2472141620296149,1.4156488862240664,1.5037065153458238,1.4100195548932002,1.4066637040542838,1.3757823642323666,1.8331342478059072,1.7550510392882954,1.7141010700814143,1.834943690958371,1.9965170567055328,1.9815823167691111,1.9259231236469978,1.745761622819733,1.7387737299798258,1.562838390448493,1.558111376851701,1.7686545208849742,1.53403837529216,1.558062231901304,1.4403999355913482,1.4605118798252699,1.3147792691911815,1.3171125894508886,1.5413102690755098,1.2354513590620873,1.3623417154478117,1.2808086946959985,1.2648683052083973,1.1624815816824012,1.2247103530789614,1.20667027767564,1.2485021516744295,1.4787434773969512,1.711170186666435,1.4193920750291957,2.0190407508409565,2.0803229296757,2.062328697425338,1.9526706268618892,2.078749270813451,1.933675462686781,1.9929376864685613,1.6921007086045703,1.2315157548454736,1.3001354586536824,1.7435214555463374,1.5880173970970273,1.8975774396477953,1.9436384239496347,1.8870462914267083,1.9625254139963133,2.0776125974144906,2.0598824028624927,1.9615822978631494,1.8825157114952995,1.0516562267409655,1.665026356385998,2.0111844636084757,1.2957349773339009,1.2751248639536352,1.38916119701656,1.4535620297757608,1.5865980540864006,1.421829282950044,1.4208599438727056,1.2596688765852242,1.7711114177674685,1.4503890691304107,1.4484648859616585,1.5038447906115822,1.7397549023710341,1.7947941567942427,1.7422928885253557,1.4360813088552535,1.6366097718060695,1.8656532393891134,2.0110129354729462,1.5491652140712044,1.5180224907140574,1.7557809985225084,1.79421467527039,1.8519393374889843,1.4142899030926614,1.3009715103236466,1.3770315490225065,2.1968079985350015,1.8086723800185311,1.8236269555216569,1.7730589169476758,1.1924441025050176,2.1797436580221254,1.3938462698315175,1.638187682258601,1.1542003708208226,1.4755613011083681,1.5964599561501316
2002,2.1848597319803638,2.1105618820461234,1.7921353651402545,1.9273101532755548,1.8806382748351056,1.5743347492419955,1.6355880008993577,1.911672345625328,1.6835635952691153,1.6931167963332774,2.0826449187523175,1.9902468644409432,2.050200751022452,2.1429271507950802,1.2789398882300995,1.308681333849595,1.5152162869482488,1.7377944998113666,1.5732084384828462,1.373563639350642,1.6918618781892298,1.4473803901828521,2.211214776858627,2.167129202051395,1.4802483633078007,1.4467169483322073,2.4725849956403083,2.0991825522518606,2.204955810467698,2.1895995475910563,2.2344485476890483,2.361467170648374,2.1382528817965087,2.2170107615356085,2.0528799642150757,2.2476788692494742,1.5659856962307421,1.4373753902770032,1.5480262858258356,2.0412042781873225,2.06918358511702,1.9513781481428853,2.0230197860139474,2.049084352320974,1.834280019924384,1.4779270638456041,1.382643951816496,1.6769706131260327,1.3666603975398819,1.670836285155692,1.7350599070486845,1.6460736333338093,1.6297346236465893,1.6405901775390246,2.175530644779381,2.080253708848811,2.065818575132394,2.2061413400714898,2.3210267404463467,2.2752133484083825,2.183020286898036,2.0593239620088193,2.0286028622998136,1.8060727879610199,1.8522043183891777,2.047625142066389,1.76304574354895,1.834327153068319,1.7480881264528727,1.7333325823005183,1.5423408290114666,1.5938695021908356,1.85395471755599,1.3979813794051785,1.6229439284156963,1.4950735740361045,1.456772504418994,1.337159525807927,1.4213321741101588,1.4084320226315388,1.5263161204262197,1.7788519354283514,2.074186275755724,1.6757881171004958,2.277567064594511,2.4167763508370523,2.3031508721315395,2.3408039202814837,2.3655431616277705,2.260814608377453,2.288051105925066,2.096433018045489,1.421977551721735,1.5174989696717214,2.0421394169253904,1.8351536314619903,2.188208106711022,2.199969900656422,2.1526682024348243,2.223185891952613,2.4221032455290836,2.345623022880352,2.277009211254604,2.1456653355141833,1.2241357463273976,2.0067589277355045,2.2771099966015096,1.4642822813040224,1.4537103653417056,1.6063190784360375,1.7908673148994734,1.8767056554695019,1.6792949421504384,1.6421177401003526,1.5027562476914802,2.1077697992215696,1.6521299400058091,1.6587611033208074,1.7299623125025567,2.058874456843078,2.13198716417951,2.0687011465223377,1.78694965612536,2.0066133679500266,2.092231136634125,2.2147981652934496,1.8690113842041325,1.8782855567196555,2.1107512100054726,2.121077987546786,2.189748679264954,1.6690291032791977,1.4617125967560327,1.5863441839890529,2.4523167966712047,2.0879603583285795,2.1923450844293084,2.137868236618041,1.3493434954289172,2.4436926312600353,1.6809195210786694,1.9566814330629851,1.3041978608569003,1.7477117522362868,1.9317962314164048
